Ref_ID,Paper_ID,Location_ID,Title,Author,Year,Time_Series_ID,Epi Info,Absences?,Annularis,Culicifacies,Dirus,Fluviatilis,Minimus,Stephensi,Subpictus,Keep,Reason,Length,Start,End,Catch_Method,Species,January,February,March,April,May,June,July,August,September,October,November,December
50,10,11,"Persistent malaria transmission in Kundam block, district Jabalpur (M.P.).",Singh,1989,43,Monthly,No,1,1,,,,,,1,,12,1987,1988,"Indoor Resting Collections, Human and Cattle Dwellings",Fluviatilis,0,0,4.8,4,0,0,2,4,0,3,3,5
50,10,11,"Persistent malaria transmission in Kundam block, district Jabalpur (M.P.).",Singh,1989,44,Monthly,No,1,1,,,,,,1,,12,1987,1988,"Indoor Resting Collections, Human and Cattle Dwellings",Subpictus,0,0,7.2,11.2,1,29.68,48,100,43,7,25,25
59,11,12,"Studies on malaria transmission in Orissa State, India 1981 through 1986. II: Observations on the Anopheles fauna.",Collins,1990,45,No,No,1,1,,1,,,1,1,,12,1983,1986,Multiple,Culicifacies,1613.809827,2072.644266,2470.498884,2518.504275,2064.859608,2964.615402,8016.230649,8064.277893,5496.55449,3415.497771,2201.174829,1306.776219
59,11,12,"Studies on malaria transmission in Orissa State, India 1981 through 1986. II: Observations on the Anopheles fauna.",Collins,1990,46,No,No,1,1,,1,,,1,1,,12,1983,1986,Multiple,Annularis,836.274537,1044.932061,1050.509598,330.329205,526.678851,335.415105,2229.438171,3225.528639,2560.665885,2381.777829,1372.464021,676.814619
59,11,12,"Studies on malaria transmission in Orissa State, India 1981 through 1986. II: Observations on the Anopheles fauna.",Collins,1990,47,No,No,1,1,,1,,,1,1,,12,1983,1986,Multiple,Fluviatilis,262.406412,242.671794,157.882926,100.13868,34.354626,11.69481,55.550846,95.022076,155.689526,261.676608,280.679428,342.810474
59,11,12,"Studies on malaria transmission in Orissa State, India 1981 through 1986. II: Observations on the Anopheles fauna.",Collins,1990,48,No,No,1,1,,1,,,1,1,,12,1983,1986,Multiple,Subpictus,437.326052,2016.623404,2758.275316,1926.304764,3605.232368,4694.850828,6331.09688,9875.264256,3946.964532,1990.00738,740.772704,357.917584
60,12,13,"Density patterns of anophelines and their relation to malaria in Bastar district, Madhya Pradesh.",Kulkarni,1990,49,Monthly,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,Indoor and Outdoor Resting Collections,Culicifacies,2448.7709,3815.69605,1443.49985,934.0644,770.724,829.0023,2156.0759,2099.6067,1723.2112,1400.275,2114.6009,3441.9273
60,12,13,"Density patterns of anophelines and their relation to malaria in Bastar district, Madhya Pradesh.",Kulkarni,1990,50,Monthly,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,Indoor and Outdoor Resting Collections,Annularis,537.2,821.6,592.5,371.3,150.1,5.53,11.85,4.74,1.58,102.7,237,284.4
60,12,13,"Density patterns of anophelines and their relation to malaria in Bastar district, Madhya Pradesh.",Kulkarni,1990,51,Monthly,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,Indoor and Outdoor Resting Collections,Fluviatilis,7.9,7.9,0,1.58,7.9,6.32,15.8,31.6,15.8,0,0,5.53
60,12,13,"Density patterns of anophelines and their relation to malaria in Bastar district, Madhya Pradesh.",Kulkarni,1990,52,Monthly,Yes,1,1,0,1,0,0,1,1,,12,1980,1981,Indoor and Outdoor Resting Collections,Subpictus,1278.1647,1912.7243,1470.3006,481.7736,424.99235,1707.2216,10352.2548,11785.2674,1749.692,734.8106,412.0008,221.8636
61,13,14,"Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa.",Das,1990,53,No,Yes,1,1,0,1,1,0,1,1,,12,1988,1989,"Indoor Resting Collections, Daytime, Human and Cattle Dwellings",Culicifacies,33.6,84,62.4,40.8,27,28.2,27.6,26.4,18,6,19.2,36
61,13,14,"Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa.",Das,1990,54,No,Yes,1,1,0,1,1,0,1,0.5,Low Counts,12,1988,1989,"Indoor Resting Collections, Daytime, Human and Cattle Dwellings",Annularis,0.96,4.8,2.4,4.08,1.08,1.2,0.12,0.24,0.24,0.6,0.24,1.2
61,13,14,"Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa.",Das,1990,55,No,Yes,1,1,0,1,1,0,1,0.5,Low Counts,12,1988,1989,"Indoor Resting Collections, Daytime, Human and Cattle Dwellings",Fluviatilis,2.4,1.2,1.2,1.2,0.6,1.8,0.9,3.3,2.4,6,6.9,3
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,56,No,Yes,1,1,0,1,0,1,1,1,,12,1989,1989,"Cattle Dwellings, Indoor Resting Collectons",Culicifacies,6.814475025,51.54698894,153.9713205,91.65578687,10.09821219,4.093350584,6.507096369,25.67503725,16.17580177,5.109484043,5.052536658,16.09072375
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,57,No,Yes,1,1,0,1,0,1,1,1,,12,1989,1989,"Human Dwellings, Indoor Resting Collectons",Culicifacies,20.90929585,63.97181055,132.1899749,109.9770642,16.89827884,10.41588254,13.78469772,16.28420764,15.74972555,5.518407434,10.18260409,16.09072375
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,58,No,Yes,1,1,0,1,0,1,1,1,,12,1989,1989,"Cattle Dwellings, Indoor Resting Collectons",Annularis,2.828839869,4.554738562,85.36560458,20.59844771,13.40890523,11.85661765,15.13480392,87.51021242,80.36151961,27.95138889,30.97426471,10.48815359
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,59,No,Yes,1,1,0,1,0,1,1,1,,12,1989,1989,"Human Dwellings, Indoor Resting Collectons",Annularis,2.818627451,7.883986928,15.52287582,12.41830065,0.888480392,0.612745098,3.390522876,2.593954248,7.975898693,11.58088235,7.68995098,14.58333333
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,60,No,Yes,1,1,0,1,0,1,1,1,,12,1989,1989,"Cattle Dwellings, Indoor Resting Collectons",Stephensi,1.119658026,7.078193279,8.692460224,6.154988099,1.691920551,0.366642284,0.07739384,2.448269945,1.814789445,0.123675323,0.526224646,0
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,61,No,Yes,1,1,0,1,0,1,1,0.5,Low Counts,12,1989,1989,"Human Dwellings, Indoor Resting Collectons",Stephensi,0.144205475,2.551834737,2.458592428,1.415051882,1.194591819,0.657830516,1.049088506,0.092027274,0.216584642,0.077610311,0.029813532,0.408854113
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,62,No,Yes,1,1,0,1,0,1,1,1,,12,1989,1989,"Cattle Dwellings, Indoor Resting Collectons",Subpictus,14.6656044,107.9943399,842.3209706,742.0082365,175.3451372,94.85078738,197.6764926,1958.222846,497.877451,70.14915316,83.79212893,19.60434578
73,14,15,"A quantitative survey of anophelines in six villages of Kheda District, Gujarat.",Bhatt,1991,63,No,Yes,1,1,0,1,0,1,1,1,,12,1989,1989,"Human Dwellings, Indoor Resting Collectons",Subpictus,19.62020048,38.42388353,241.1659552,205.2629701,51.48023513,54.80179634,98.1723486,598.8085187,354.4002759,80.47056772,40.23132018,24.97116425
74,15,16,"Epidemiological observations on malaria in some parts of Tengakhat PHC, Dibrugarh district, Assam.",Dutta,1991,64,Monthly,Yes,1,1,1,0,1,0,0,1,,12,1988,1988,"Light Traps and Outdoor Collections, Human and Cattle Dwellings, Overnight",Dirus,0,0,0,2.352834,5.052838,25.80941,31.302618,33.139357,64.85089,42.192339,19.323389,2.247751
75,16,17,"Bionomics of Anopheles culicifacies giles in riverine tract rural areas of district Shahjahanpur, Uttar Pradesh.",Sharma,1991,65,Yearly,Yes,1,1,0,1,0,1,1,1,,12,1987,1989,"Indoor Resting Collections (Human and Cattle Dwellings), Spray Catch",Culicifacies,169.6,223.4,523,475.4,442,495.6,337.2,251,153,214.6,486.2,385.2
76,17,18,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,66,No,Yes,1,0,1,1,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Culicifacies,104.16,859.32,2750.32,1071.36,457.56,89.28,52.08,634.88,529.48,620,261.64,173.6
76,17,18,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,67,No,Yes,1,0,1,1,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Annularis,554.28,376.96,660.92,438.96,225.68,256.68,140.12,152.52,224.44,183.52,633.64,502.2
76,17,18,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,68,No,Yes,1,0,1,1,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Stephensi,17.36,40.92,48.36,63.24,16.12,13.64,70.68,96.72,19.84,11.16,16.12,33.48
76,17,18,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,69,No,Yes,1,0,1,1,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Subpictus,1196.6,2260.52,11336.08,7969.48,5049.28,2983.44,5820.56,53569.24,29371.88,9982,6988.02,1864.96
76,17,19,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,70,No,Yes,1,0,1,0,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Culicifacies,22.4,76,148,88,13.6,4,20.8,203.2,152,144.8,82.4,83.2
76,17,19,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,71,No,Yes,1,0,1,0,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Annularis,1.6,4.8,5.6,9.6,1.6,14.4,12.8,40.8,35.2,20,8,156
76,17,19,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,72,No,Yes,1,0,1,0,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Stephensi,1.6,7.2,11.2,18.4,9.6,4,15.2,28.8,8,4.8,3.2,2.4
76,17,19,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,73,No,Yes,1,0,1,0,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Subpictus,466.4,364.8,1302.4,1947.2,1452.8,669.6,2774.4,23825.6,16193.6,6204.8,4360.8,1200.8
76,17,20,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,74,No,Yes,1,0,1,0,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Culicifacies,1081.08,1797.64,1796.6,549.12,107.64,95.68,188.24,330.72,365.04,128.44,240.76,378.04
76,17,20,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,75,No,Yes,1,0,1,0,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Annularis,13,6.76,18.2,91.52,11.96,73.32,17.68,11.96,8.32,5.72,34.32,165.36
76,17,20,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,76,No,Yes,1,0,1,0,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Stephensi,69.16,74.36,91.52,52,15.6,10.92,34.32,40.04,7.28,5.72,4.16,30.16
76,17,20,"Seasonal prevalence of anophelines in Kheda district, Gujarat.",Bhatt,1991,77,No,Yes,1,0,1,0,0,1,1,1,,12,1985,1988,"Indoor resting collections, morning, cattle and human dwellings",Subpictus,442,453.96,1078.48,1863.68,883.48,737.88,5109,19491.68,9648.6,3376.88,1940.12,767
91,18,21,Critical appraisal of entomological data of Madhya Pradesh for 1991 and its relevance to the National Malaria Eradication Programme.,Saxena ,1992,78,Yearly,No,,1,,,,,,0.5,Low Counts,12,1991,1991,Indoor Resting Collections,Culicifacies,2.66,3,3.33,2.9,2.5,1,2,2.8,6.25,4.17,1,6.5
96,19,26,Seasonality of indoor resting mosquitoes in a broken-forest ecosystem of north-western Orissa.,Chand,1993,79,No,Yes,1,1,0,1,0,0,1,1,,12,1989,1990,"Human Dwelling Indoor Resting Collections, Morning",Culicifacies,192.7979382,169.2162942,245.3214904,285.5058784,215.8986832,189.7600641,158.4371195,145.0481881,164.9351204,143.840076,191.8009525,188.6223275
96,19,26,Seasonality of indoor resting mosquitoes in a broken-forest ecosystem of north-western Orissa.,Chand,1993,80,No,Yes,1,1,0,1,0,0,1,1,,12,1989,1990,"Cattleshed Indoor Resting Collections, Morning",Culicifacies,3154.021387,2951.4163,3219.206657,2592.073333,1520.008752,1189.537318,1137.828948,996.573669,990.8204751,949.3751934,2186.347073,2582.109341
96,19,26,Seasonality of indoor resting mosquitoes in a broken-forest ecosystem of north-western Orissa.,Chand,1993,81,No,Yes,1,1,0,1,0,0,1,1,,12,1989,1990,"Human Dwelling Indoor Resting Collections, Morning",Annularis,6.627915466,10.98026712,10.80239324,9.97509438,35.35295561,0,0,19.65810407,0,22.09208681,9.178367598,10.87002237
96,19,26,Seasonality of indoor resting mosquitoes in a broken-forest ecosystem of north-western Orissa.,Chand,1993,82,No,Yes,1,1,0,1,0,0,1,1,,12,1989,1990,"Cattleshed Indoor Resting Collections, Morning",Annularis,299.0917549,374.2008563,405.5900387,618.5995762,348.1136127,210.5596601,270.0770036,406.2700357,319.0905236,354.7459,398.7594962,349.1363876
96,19,26,Seasonality of indoor resting mosquitoes in a broken-forest ecosystem of north-western Orissa.,Chand,1993,83,No,Yes,1,1,0,1,0,0,1,1,,12,1989,1990,"Human Dwelling Indoor Resting Collections, Morning",Subpictus,157.6761908,203.9823633,219.8978139,136.4115028,99.61345264,194.6065023,502.5844326,721.2418562,363.9598291,264.322936,231.4486396,160.1891566
96,19,26,Seasonality of indoor resting mosquitoes in a broken-forest ecosystem of north-western Orissa.,Chand,1993,84,No,Yes,1,1,0,1,0,0,1,1,,12,1989,1990,"Cattleshed Indoor Resting Collections, Morning",Subpictus,161.7615973,242.5438983,538.2803048,292.5974762,245.6299968,498.8370273,1123.125354,2323.470697,881.1458434,465.0662928,397.7305636,387.2966117
97,20,27,"Malaria transmission in Nagaland, India. Part-I--Anophelines and their seasonality.",Misra,1993,85,No,Yes,1,1,1,1,1,0,1,1,,12,1983,1983,"Human and Cattle Bait, Indoor Resting Collections, Human and Cattle Dwellings",Culicifacies,44.28,34.44,63.96,255.84,610.08,1028.28,580.56,300.12,172.2,63.96,68.88,19.68
97,20,27,"Malaria transmission in Nagaland, India. Part-I--Anophelines and their seasonality.",Misra,1993,86,No,Yes,1,1,1,1,1,0,1,1,,12,1983,1983,"Human and Cattle Bait, Indoor Resting Collections, Human and Cattle Dwellings",Annularis,123,78.72,73.8,88.56,103.32,137.76,206.64,383.76,319.8,265.68,83.64,123
97,20,27,"Malaria transmission in Nagaland, India. Part-I--Anophelines and their seasonality.",Misra,1993,87,No,Yes,1,1,1,1,1,0,1,1,,12,1983,1983,"Human and Cattle Bait, Indoor Resting Collections, Human and Cattle Dwellings",Dirus,0.492,0.984,0.984,0.984,14.76,4.92,4.92,1.968,9.84,9.84,1.968,0
